Chainage,PD,RL,Remarks
.000,-50.00,1305.628,
,-49.8424795866046,1305.623,
,-48.2374680028311,1305.309,
,-45.6450941890541,1304.788,
,-42.2268223980137,1304.463,
,-37.2943943655902,1303.759,
,-35.8666389225001,1303.480,
,-35.0616933088594,1303.366,
,-32.6342158797463,1302.960,
,-29.8330363661755,1302.300,
,-24.8442487831128,1300.901,
,-17.7597707237217,1299.075,
,-14.8637608116126,1298.224,
,-12.6687807721644,1297.569,
,-9.74385616752114,1296.726,
,-8.60196425271331,1296.499,
,-6.16419906095429,1296.216,
,-1.92730355047674,1295.254,
,0,1294.900,
,1.48179786952979,1294.627,
,2.35918506962392,1294.856,
,3.64326839920606,1295.319,
,5.12226195040699,1295.400,
,6.6733003559851,1295.371,
,7.59148555290684,1295.049,
,11.047559097394,1295.684,
,15.4323064196033,1296.960,
,21.3079854523346,1299.312,
,24.8030021750328,1300.095,
,29.7074337180924,1301.727,
,31.9948978291096,1302.413,
,34.9597251959989,1303.295,
,39.9899128826085,1304.488,
,42.4736441830131,1305.083,
,44.3365374082733,1305.415,
,47.944334346288,1306.029,
,50,1306.425,
25.000,-50.00,1305.809,
,-49.2597583053869,1305.782,
,-45.5421520813661,1304.965,
,-45.3804614455517,1304.933,
,-45.1811053154712,1304.915,
,-44.8484633056929,1304.854,
,-32.348053124589,1302.691,
,-26.1819922218729,1301.390,
,-17.793486752245,1299.804,
,-17.6505600382802,1299.767,
,-17.5485481417644,1299.748,
,-17.3568499431986,1299.705,
,-8.58225119813081,1297.252,
,-6.37896077550523,1296.773,
,-2.95996918055854,1296.410,
,0,1296.464,
,3.94139842809396,1296.536,
,17.3720675133156,1298.919,
,18.1691981312048,1299.025,
,20.9248710414365,1299.584,
,32.7382709272865,1303.123,
,34.0062112352648,1303.560,
,36.1669338835728,1304.300,
,38.4988599565331,1304.728,
,41.6562501547718,1305.364,
,49.5591057898408,1306.717,
,50,1306.794,
50.000,-50.00,1305.796,
,-47.4414899828825,1305.562,
,-40.7236705191623,1304.885,
,-39.0235840535768,1304.599,
,-38.4521363882596,1304.581,
,-32.7532910846103,1303.440,
,-29.9310912947098,1302.119,
,-28.793940460852,1301.603,
,-26.5326055925086,1301.005,
,-24.3192123155037,1300.346,
,-21.6438197350539,1299.631,
,-18.9325698239221,1299.376,
,-13.5554691644974,1299.207,
,-5.87011574040972,1298.184,
,-1.9551949893359,1297.613,
,-1.18188178401931,1297.502,
,-0.793140516257424,1297.452,
,0,1297.517,
,5.30618462646317,1297.956,
,22.5076994927744,1299.531,
,25.9490759445565,1300.071,
,34.1716021026289,1301.271,
,38.4730094243309,1302.005,
,39.3319170568596,1302.376,
,40.6507739552151,1302.590,
,40.9910459381947,1302.799,
,43.4956817304921,1303.354,
,43.5398833959583,1303.357,
,43.8946165042761,1303.415,
,47.1269446005041,1303.825,
,48.9789370826313,1303.955,
,49.2832510572916,1303.879,
,50,1304.003,
75.000,-48.17,1306.670,
,-47.470432654234,1306.525,
,-40.8417306764093,1306.082,
,-37.5711862496359,1305.723,
,-36.7897319097226,1305.674,
,-33.5739216060419,1305.506,
,-31.4967445845104,1305.579,
,-29.4904884978627,1305.604,
,-26.4637122476974,1304.973,
,-25.0356920217606,1304.686,
,-20.5440326370268,1303.508,
,-14.8355273059509,1301.998,
,-6.23175288661215,1299.932,
,-5.56831792623296,1299.681,
,-4.09334757532822,1299.527,
,-3.45750500831888,1299.608,
,0,1299.745,
,15.4949264371296,1300.355,
,19.9134451777427,1300.520,
,25.0736776821441,1300.365,
,25.9885550454519,1300.387,
,27.4280854965533,1300.696,
,31.1576235483568,1301.362,
,42.5486966649862,1303.633,
,47.1535442182478,1304.556,
,50,1304.966,
100.000,-46.30,1306.587,
,-45.9874860164924,1306.579,
,-45.588380873882,1306.547,
,-44.6461178169437,1306.575,
,-36.3225619945252,1305.849,
,-36.3158159093281,1305.816,
,-35.8919571467491,1305.961,
,-35.8700662484146,1305.958,
,-35.2573148022312,1305.712,
,-32.4459427243232,1305.446,
,-31.5304684831023,1305.254,
,-27.0115995682102,1303.957,
,-24.5418992089663,1303.041,
,-22.8558033276068,1302.569,
,-21.131744949027,1301.540,
,-20.8640354122569,1301.460,
,-17.6459106716292,1300.643,
,-17.1009742140941,1300.533,
,-16.8862386954222,1300.455,
,-14.655638437296,1300.623,
,-12.0212789759117,1299.931,
,-11.8149733334469,1299.911,
,-11.5904118574047,1299.882,
,-11.4886582404012,1299.862,
,-3.63556927402424,1299.049,
,-0.187819818866792,1299.495,
,0,1299.502,
,9.20501250809072,1299.869,
,14.6693255222583,1300.960,
